genres,budget,revenue,profit,popularity,vote_average,vote_count,runtime,genre_name
Action,60000000.0,133718711.0,68761661.0,36.0,6.0,3323.0,112.0,Action
Adventure,103000000.0,255825100.0,138622422.0,38.0,7.0,4052.0,110.0,Adventure
Animation,75000000.0,218349271.0,147401898.0,34.0,7.0,2096.0,93.0,Animation
Comedy,29000000.0,70611342.0,41390858.0,21.0,6.0,1498.0,101.0,Comedy
Crime,26610000.0,39289373.0,13479674.0,22.0,6.0,1614.0,111.0,Crime
Documentary,3000000.0,5892466.0,4892466.0,10.0,7.0,63.0,100.0,Documentary
Drama,18000000.0,30688247.0,9864930.0,18.0,7.0,1282.0,112.0,Drama
Family,75000000.0,196213478.0,99592154.0,30.0,7.0,2035.0,97.0,Family
Fantasy,90000000.0,208969096.0,125581173.0,37.0,6.0,3627.0,108.0,Fantasy
History,25000000.0,38864643.0,9820014.0,22.0,7.0,1358.0,124.0,History
Horror,9000000.0,44516999.0,33336181.0,23.0,6.0,1646.0,97.0,Horror
Music,18000000.0,32726956.0,9792000.0,22.0,7.0,568.0,107.0,Music
Mystery,19500000.0,40423945.0,15354990.0,23.0,6.0,1798.0,106.0,Mystery
Romance,17000000.0,33766787.0,12756590.0,18.0,7.0,1481.0,109.0,Romance
Science Fiction,97000000.0,209154322.0,86328627.0,44.0,6.0,4606.0,115.0,Science Fiction
Thriller,20000000.0,37482758.0,13746984.0,24.0,6.0,1553.0,106.0,Thriller
War,33839867.0,24059642.0,2199884.0,22.0,7.0,994.0,115.0,War
Western,38000000.0,37589296.0,-1770906.0,22.0,7.0,2236.0,122.0,Western
